CustomerID,MealType,SatisfactionRating
1,Lunch,2
2,Snacks,3
3,Dinner,5
4,Lunch,4
5,Breakfast,5
6,Breakfast,4
7,Breakfast,4
8,Dinner,5
9,Dinner,2
10,Dinner,3
11,Breakfast,2
12,Snacks,5
13,Dinner,5
14,Breakfast,1
15,Breakfast,4
16,Breakfast,5
17,Lunch,2
18,Lunch,4
19,Lunch,5
20,Lunch,1
21,Dinner,4
22,Breakfast,3
23,Lunch,5
24,Lunch,5
25,Lunch,5
26,Dinner,3
27,Breakfast,5
28,Lunch,5
29,Lunch,3
30,Breakfast,5
31,Dinner,1
32,Breakfast,4
33,Breakfast,2
34,Snacks,2
35,Snacks,1
36,Dinner,4
37,Lunch,3
38,Breakfast,4
39,Dinner,1
40,Lunch,3
41,Breakfast,3
42,Lunch,4
43,Breakfast,3
44,Snacks,4
45,Lunch,5
46,Dinner,4
47,Lunch,2
48,Lunch,1
49,Lunch,5
50,Breakfast,1
51,Snacks,5
52,Dinner,3
53,Snacks,5
54,Dinner,4
55,Lunch,5
56,Snacks,3
57,Breakfast,4
58,Breakfast,3
59,Breakfast,3
60,Lunch,4
61,Lunch,5
62,Lunch,5
63,Dinner,4
64,Lunch,3
65,Lunch,3
66,Lunch,4
67,Breakfast,2
68,Dinner,2
69,Breakfast,3
70,Snacks,3
71,Dinner,3
72,Breakfast,2
73,Breakfast,1
74,Dinner,1
75,Dinner,5
76,Dinner,3
77,Dinner,3
78,Breakfast,4
79,Lunch,2
80,Breakfast,5
81,Dinner,4
82,Dinner,1
83,Lunch,3
84,Breakfast,5
85,Lunch,5
86,Lunch,3
87,Dinner,4
88,Dinner,2
89,Dinner,5
90,Lunch,2
91,Breakfast,5
92,Dinner,4
93,Dinner,4
94,Lunch,3
95,Dinner,2
96,Lunch,2
97,Lunch,2
98,Lunch,2
99,Breakfast,4
100,Breakfast,3
101,Breakfast,1
102,Dinner,5
103,Lunch,5
104,Lunch,5
105,Snacks,5
106,Breakfast,2
107,Lunch,3
108,Dinner,4
109,Breakfast,4
110,Breakfast,2
111,Lunch,5
112,Breakfast,2
113,Snacks,2
114,Dinner,3
115,Dinner,4
116,Dinner,4
117,Dinner,1
118,Breakfast,5
119,Dinner,3
120,Lunch,2
121,Dinner,5
122,Dinner,5
123,Lunch,5
124,Breakfast,5
125,Breakfast,4
126,Lunch,4
127,Dinner,1
128,Dinner,3
129,Breakfast,3
130,Lunch,3
131,Lunch,4
132,Breakfast,3
133,Breakfast,1
134,Lunch,2
135,Snacks,4
136,Lunch,1
137,Lunch,5
138,Dinner,3
139,Lunch,3
140,Snacks,4
141,Snacks,5
142,Lunch,3
143,Lunch,4
144,Lunch,4
145,Lunch,3
146,Breakfast,5
147,Dinner,4
148,Lunch,4
149,Breakfast,5
150,Lunch,5
151,Snacks,4
152,Breakfast,5
153,Breakfast,4
154,Lunch,4
155,Snacks,4
156,Breakfast,4
157,Dinner,2
158,Dinner,5
159,Breakfast,5
160,Dinner,1
161,Lunch,5
162,Dinner,2
163,Dinner,3
164,Lunch,4
165,Breakfast,2
166,Dinner,5
167,Lunch,5
168,Breakfast,3
169,Breakfast,1
170,Lunch,3
171,Dinner,4
172,Breakfast,5
173,Lunch,4
174,Breakfast,3
175,Dinner,4
176,Breakfast,3
177,Dinner,4
178,Lunch,2
179,Snacks,4
180,Breakfast,3
181,Lunch,5
182,Breakfast,3
183,Snacks,4
184,Dinner,5
185,Lunch,2
186,Dinner,5
187,Dinner,4
188,Lunch,1
189,Lunch,3
190,Breakfast,4
191,Breakfast,1
192,Dinner,4
193,Snacks,3
194,Dinner,4
195,Lunch,1
196,Lunch,5
197,Dinner,5
198,Dinner,5
199,Dinner,4
200,Dinner,2
201,Dinner,4
202,Breakfast,1
203,Breakfast,1
204,Dinner,3
205,Dinner,3
206,Breakfast,4
207,Breakfast,4
208,Dinner,3
209,Breakfast,3
210,Breakfast,5
211,Lunch,3
212,Dinner,3
213,Dinner,2
214,Breakfast,4
215,Dinner,4
216,Breakfast,2
217,Lunch,1
218,Dinner,4
219,Dinner,4
220,Dinner,3
221,Dinner,5
222,Lunch,2
223,Breakfast,3
224,Lunch,5
225,Lunch,3
226,Breakfast,4
227,Snacks,3
228,Lunch,3
229,Dinner,5
230,Dinner,3
231,Dinner,5
232,Lunch,2
233,Lunch,2
234,Lunch,1
235,Breakfast,4
236,Dinner,3
237,Lunch,5
238,Breakfast,3
239,Dinner,5
240,Breakfast,2
241,Snacks,5
242,Snacks,4
243,Snacks,4
244,Lunch,5
245,Breakfast,4
246,Snacks,4
247,Lunch,2
248,Snacks,1
249,Snacks,5
250,Dinner,4
251,Lunch,4
252,Lunch,3
253,Dinner,2
254,Lunch,2
255,Breakfast,4
256,Lunch,3
257,Snacks,2
258,Dinner,3
259,Lunch,1
260,Breakfast,4
261,Dinner,3
262,Snacks,4
263,Breakfast,3
264,Lunch,3
265,Dinner,1
266,Dinner,1
267,Dinner,3
268,Dinner,3
269,Lunch,4
270,Lunch,3
271,Dinner,4
272,Dinner,5
273,Dinner,4
274,Snacks,1
275,Lunch,3
276,Lunch,2
277,Dinner,2
278,Dinner,5
279,Dinner,2
280,Dinner,3
281,Dinner,4
282,Lunch,4
283,Lunch,4
284,Breakfast,1
285,Lunch,3
286,Breakfast,3
287,Lunch,1
288,Lunch,3
289,Lunch,1
290,Lunch,1
291,Breakfast,3
292,Breakfast,2
293,Dinner,4
294,Lunch,4
295,Breakfast,5
296,Lunch,2
297,Dinner,2
298,Breakfast,2
299,Dinner,4
300,Breakfast,4
301,Breakfast,1
302,Lunch,5
303,Lunch,1
304,Dinner,3
305,Dinner,4
306,Snacks,5
307,Lunch,4
308,Lunch,5
309,Dinner,3
310,Lunch,5
311,Lunch,1
312,Breakfast,5
313,Breakfast,3
314,Snacks,5
315,Dinner,3
316,Dinner,4
317,Lunch,3
318,Breakfast,4
319,Breakfast,1
320,Lunch,1
321,Lunch,2
322,Dinner,2
323,Dinner,5
324,Lunch,2
325,Snacks,5
326,Dinner,3
327,Lunch,2
328,Dinner,4
329,Lunch,4
330,Breakfast,3
331,Lunch,4
332,Dinner,4
333,Breakfast,2
334,Breakfast,5
335,Breakfast,5
336,Breakfast,4
337,Dinner,2
338,Dinner,4
339,Lunch,1
340,Breakfast,1
341,Lunch,3
342,Lunch,3
343,Breakfast,5
344,Lunch,4
345,Lunch,4
346,Dinner,3
347,Dinner,3
348,Breakfast,3
349,Lunch,5
350,Dinner,1
351,Lunch,5
352,Dinner,4
353,Dinner,3
354,Breakfast,4
355,Breakfast,3
356,Dinner,5
357,Breakfast,5
358,Lunch,3
359,Snacks,3
360,Lunch,4
361,Lunch,5
362,Dinner,2
363,Lunch,4
364,Lunch,4
365,Snacks,4
366,Lunch,2
367,Snacks,4
368,Snacks,5
369,Breakfast,2
370,Breakfast,2
371,Breakfast,5
372,Breakfast,2
373,Breakfast,5
374,Dinner,3
375,Breakfast,2
376,Lunch,5
377,Dinner,3
378,Breakfast,3
379,Dinner,3
380,Lunch,4
381,Breakfast,2
382,Dinner,3
383,Dinner,5
384,Dinner,3
385,Dinner,4
386,Dinner,3
387,Lunch,4
388,Breakfast,2
389,Dinner,5
390,Dinner,3
391,Snacks,2
392,Lunch,1
393,Lunch,2
394,Dinner,3
395,Lunch,3
396,Snacks,5
397,Dinner,3
398,Lunch,2
399,Dinner,4
400,Dinner,4
401,Breakfast,2
402,Snacks,2
403,Lunch,1
404,Dinner,4
405,Lunch,4
406,Dinner,3
407,Lunch,5
408,Breakfast,5
409,Snacks,4
410,Breakfast,5
411,Lunch,2
412,Snacks,2
413,Snacks,3
414,Lunch,1
415,Dinner,3
416,Lunch,5
417,Lunch,1
418,Lunch,2
419,Dinner,3
420,Dinner,5
421,Dinner,3
422,Dinner,3
423,Breakfast,1
424,Lunch,2
425,Breakfast,5
426,Lunch,5
427,Lunch,1
428,Dinner,5
429,Lunch,4
430,Breakfast,5
431,Breakfast,3
432,Dinner,3
433,Dinner,3
434,Breakfast,4
435,Breakfast,2
436,Dinner,1
437,Breakfast,3
438,Dinner,4
439,Dinner,2
440,Breakfast,4
441,Breakfast,5
442,Snacks,1
443,Lunch,4
444,Lunch,3
445,Dinner,5
446,Snacks,2
447,Snacks,4
448,Dinner,5
449,Lunch,5
450,Breakfast,4
451,Dinner,3
452,Lunch,4
453,Lunch,5
454,Snacks,4
455,Breakfast,1
456,Lunch,5
457,Breakfast,4
458,Lunch,4
459,Breakfast,2
460,Breakfast,4
461,Breakfast,3
462,Dinner,4
463,Dinner,2
464,Lunch,4
465,Snacks,5
466,Lunch,1
467,Lunch,5
468,Dinner,3
469,Breakfast,5
470,Snacks,4
471,Breakfast,4
472,Snacks,4
473,Breakfast,5
474,Dinner,3
475,Lunch,3
476,Snacks,4
477,Breakfast,5
478,Lunch,4
479,Snacks,4
480,Lunch,3
481,Dinner,5
482,Dinner,2
483,Lunch,3
484,Dinner,1
485,Lunch,3
486,Snacks,3
487,Breakfast,3
488,Lunch,4
489,Snacks,3
490,Dinner,3
491,Lunch,2
492,Dinner,3
493,Lunch,2
494,Breakfast,1
495,Lunch,4
496,Lunch,4
497,Lunch,4
498,Breakfast,3
499,Snacks,3
500,Snacks,5
501,Dinner,3
502,Lunch,3
503,Lunch,1
504,Dinner,3
505,Dinner,3
506,Breakfast,3
507,Snacks,4
508,Dinner,3
509,Snacks,4
510,Dinner,4
511,Dinner,5
512,Lunch,4
513,Snacks,5
514,Dinner,1
515,Breakfast,2
516,Breakfast,1
517,Lunch,4
518,Dinner,5
519,Snacks,2
520,Breakfast,5
521,Lunch,1
522,Lunch,5
523,Snacks,3
524,Dinner,2
525,Dinner,3
526,Lunch,3
527,Lunch,3
528,Lunch,3
529,Breakfast,5
530,Dinner,3
531,Dinner,3
532,Snacks,4
533,Snacks,4
534,Lunch,3
535,Dinner,3
536,Snacks,2
537,Dinner,2
538,Breakfast,4
539,Lunch,2
540,Breakfast,3
541,Snacks,4
542,Dinner,2
543,Breakfast,4
544,Dinner,3
545,Dinner,5
546,Lunch,3
547,Breakfast,5
548,Dinner,4
549,Lunch,1
550,Dinner,4
551,Lunch,5
552,Dinner,4
553,Lunch,5
554,Lunch,5
555,Dinner,2
556,Lunch,2
557,Breakfast,4
558,Breakfast,3
559,Dinner,5
560,Dinner,5
561,Dinner,3
562,Breakfast,2
563,Breakfast,4
564,Breakfast,3
565,Lunch,5
566,Lunch,3
567,Lunch,4
568,Lunch,1
569,Snacks,4
570,Lunch,3
571,Lunch,4
572,Dinner,2
573,Lunch,4
574,Dinner,5
575,Dinner,2
576,Snacks,1
577,Breakfast,1
578,Snacks,4
579,Lunch,4
580,Lunch,3
581,Lunch,2
582,Snacks,3
583,Lunch,4
584,Lunch,3
585,Dinner,5
586,Breakfast,2
587,Breakfast,4
588,Breakfast,3
589,Breakfast,3
590,Breakfast,4
591,Breakfast,4
592,Dinner,5
593,Breakfast,2
594,Lunch,2
595,Dinner,4
596,Lunch,4
597,Dinner,3
598,Breakfast,1
599,Breakfast,1
600,Breakfast,5
601,Breakfast,2
602,Lunch,3
603,Breakfast,2
604,Breakfast,3
605,Breakfast,1
606,Lunch,3
607,Breakfast,1
608,Lunch,5
609,Lunch,2
610,Dinner,3
611,Breakfast,5
612,Dinner,4
613,Dinner,3
614,Breakfast,3
615,Dinner,3
616,Snacks,4
617,Breakfast,5
618,Lunch,4
619,Dinner,4
620,Dinner,4
621,Breakfast,3
622,Breakfast,1
623,Lunch,4
624,Lunch,5
625,Dinner,2
626,Lunch,4
627,Lunch,2
628,Dinner,3
629,Breakfast,1
630,Lunch,3
631,Dinner,4
632,Dinner,3
633,Lunch,4
634,Lunch,4
635,Breakfast,5
636,Lunch,2
637,Lunch,3
638,Breakfast,2
639,Lunch,5
640,Lunch,5
641,Breakfast,3
642,Lunch,5
643,Breakfast,3
644,Lunch,4
645,Breakfast,1
646,Dinner,4
647,Lunch,2
648,Dinner,5
649,Dinner,4
650,Lunch,4
651,Breakfast,1
652,Lunch,3
653,Lunch,3
654,Dinner,3
655,Lunch,1
656,Breakfast,5
657,Lunch,4
658,Lunch,3
659,Dinner,3
660,Lunch,3
661,Lunch,4
662,Snacks,3
663,Dinner,5
664,Breakfast,3
665,Breakfast,5
666,Breakfast,5
667,Breakfast,2
668,Breakfast,5
669,Breakfast,2
670,Lunch,5
671,Breakfast,3
672,Dinner,5
673,Breakfast,5
674,Lunch,5
675,Lunch,4
676,Snacks,3
677,Breakfast,1
678,Lunch,3
679,Snacks,2
680,Dinner,4
681,Dinner,3
682,Lunch,5
683,Breakfast,4
684,Dinner,5
685,Snacks,2
686,Lunch,5
687,Lunch,5
688,Lunch,3
689,Dinner,4
690,Breakfast,4
691,Lunch,2
692,Lunch,3
693,Lunch,3
694,Breakfast,2
695,Breakfast,3
696,Dinner,1
697,Lunch,1
698,Lunch,2
699,Breakfast,5
700,Lunch,3
701,Lunch,5
702,Breakfast,3
703,Lunch,3
704,Breakfast,3
705,Breakfast,3
706,Snacks,2
707,Lunch,4
708,Dinner,2
709,Lunch,4
710,Dinner,4
711,Dinner,2
712,Lunch,1
713,Lunch,4
714,Lunch,3
715,Lunch,1
716,Snacks,5
717,Dinner,1
718,Snacks,4
719,Breakfast,5
720,Dinner,2
721,Snacks,2
722,Breakfast,2
723,Breakfast,3
724,Dinner,2
725,Lunch,4
726,Dinner,1
727,Breakfast,3
728,Dinner,5
729,Breakfast,5
730,Breakfast,4
731,Breakfast,3
732,Dinner,4
733,Dinner,3
734,Lunch,3
735,Lunch,2
736,Dinner,5
737,Lunch,3
738,Dinner,2
739,Lunch,3
740,Lunch,3
741,Lunch,5
742,Lunch,4
743,Dinner,4
744,Lunch,1
745,Breakfast,3
746,Dinner,3
747,Lunch,1
748,Lunch,3
749,Snacks,4
750,Dinner,2
751,Breakfast,3
752,Snacks,2
753,Dinner,1
754,Lunch,2
755,Breakfast,5
756,Dinner,5
757,Dinner,5
758,Lunch,3
759,Dinner,2
760,Dinner,3
761,Breakfast,3
762,Lunch,5
763,Breakfast,1
764,Dinner,3
765,Breakfast,2
766,Lunch,3
767,Dinner,4
768,Dinner,3
769,Lunch,3
770,Dinner,3
771,Breakfast,3
772,Dinner,4
773,Breakfast,5
774,Lunch,5
775,Dinner,4
776,Breakfast,3
777,Breakfast,4
778,Dinner,3
779,Dinner,3
780,Dinner,5
781,Dinner,1
782,Lunch,5
783,Lunch,3
784,Lunch,4
785,Breakfast,4
786,Snacks,5
787,Lunch,4
788,Lunch,4
789,Lunch,1
790,Snacks,3
791,Breakfast,2
792,Lunch,4
793,Lunch,3
794,Dinner,4
795,Breakfast,1
796,Dinner,1
797,Snacks,4
798,Lunch,1
799,Dinner,1
800,Snacks,1
801,Dinner,5
802,Breakfast,4
803,Lunch,3
804,Dinner,3
805,Lunch,3
806,Dinner,4
807,Snacks,4
808,Snacks,2
809,Lunch,2
810,Breakfast,1
811,Snacks,4
812,Dinner,4
813,Breakfast,3
814,Snacks,1
815,Dinner,1
816,Lunch,5
817,Lunch,3
818,Lunch,4
819,Breakfast,4
820,Lunch,3
821,Dinner,2
822,Breakfast,2
823,Lunch,4
824,Lunch,4
825,Lunch,4
826,Snacks,3
827,Lunch,1
828,Lunch,5
829,Dinner,4
830,Lunch,3
831,Breakfast,5
832,Lunch,4
833,Breakfast,4
834,Breakfast,4
835,Lunch,5
836,Lunch,4
837,Snacks,2
838,Lunch,3
839,Lunch,5
840,Dinner,2
841,Breakfast,3
842,Dinner,3
843,Breakfast,3
844,Snacks,4
845,Breakfast,5
846,Lunch,2
847,Breakfast,2
848,Snacks,2
849,Lunch,5
850,Lunch,4
851,Breakfast,3
852,Dinner,5
853,Breakfast,5
854,Dinner,5
855,Breakfast,5
856,Breakfast,3
857,Breakfast,4
858,Lunch,3
859,Lunch,5
860,Breakfast,4
861,Dinner,4
862,Lunch,4
863,Lunch,2
864,Lunch,3
865,Lunch,5
866,Lunch,5
867,Breakfast,1
868,Breakfast,2
869,Dinner,2
870,Snacks,4
871,Lunch,5
872,Lunch,2
873,Dinner,3
874,Lunch,5
875,Breakfast,4
876,Breakfast,3
877,Dinner,4
878,Dinner,3
879,Breakfast,3
880,Breakfast,4
881,Breakfast,4
882,Dinner,5
883,Breakfast,4
884,Breakfast,4
885,Dinner,2
886,Breakfast,3
887,Dinner,1
888,Breakfast,2
889,Breakfast,4
890,Breakfast,5
891,Dinner,1
892,Dinner,3
893,Dinner,5
894,Lunch,2
895,Dinner,4
896,Breakfast,4
897,Lunch,4
898,Dinner,2
899,Breakfast,3
900,Breakfast,4
901,Breakfast,4
902,Breakfast,1
903,Breakfast,4
904,Lunch,1
905,Lunch,4
906,Dinner,2
907,Dinner,5
908,Lunch,3
909,Lunch,3
910,Lunch,2
911,Lunch,3
912,Lunch,5
913,Dinner,5
914,Lunch,3
915,Lunch,3
916,Lunch,4
917,Lunch,5
918,Snacks,4
919,Dinner,3
920,Breakfast,3
921,Dinner,4
922,Lunch,1
923,Dinner,4
924,Dinner,3
925,Lunch,4
926,Breakfast,1
927,Lunch,4
928,Lunch,3
929,Dinner,4
930,Lunch,1
931,Breakfast,4
932,Dinner,4
933,Snacks,4
934,Lunch,4
935,Breakfast,4
936,Lunch,5
937,Breakfast,3
938,Snacks,5
939,Breakfast,3
940,Lunch,1
941,Lunch,1
942,Lunch,3
943,Dinner,4
944,Dinner,4
945,Breakfast,4
946,Breakfast,3
947,Breakfast,3
948,Snacks,2
949,Dinner,3
950,Lunch,3
951,Dinner,1
952,Dinner,2
953,Breakfast,4
954,Snacks,4
955,Lunch,5
956,Lunch,5
957,Lunch,4
958,Breakfast,3
959,Breakfast,4
960,Dinner,4
961,Breakfast,2
962,Dinner,3
963,Breakfast,5
964,Lunch,3
965,Lunch,4
966,Lunch,4
967,Dinner,2
968,Lunch,3
969,Lunch,3
970,Lunch,1
971,Dinner,1
972,Snacks,5
973,Dinner,3
974,Breakfast,3
975,Breakfast,3
976,Lunch,5
977,Lunch,3
978,Breakfast,3
979,Lunch,5
980,Lunch,5
981,Lunch,2
982,Dinner,5
983,Breakfast,3
984,Breakfast,3
985,Dinner,2
986,Lunch,1
987,Dinner,4
988,Lunch,3
989,Breakfast,3
990,Dinner,4
991,Dinner,4
992,Dinner,2
993,Lunch,4
994,Lunch,2
995,Lunch,4
996,Breakfast,4
997,Snacks,5
998,Breakfast,1
999,Snacks,1
1000,Lunch,3
