Continent,Country,Life Expectancy (years),%Underweight
Africa,Algeria,76.54,3.8
Africa,Angola,61.72,13.9
Africa,Benin,61.96,10.1
Africa,Botswana,60.93,9.9
Africa,Burkina Faso,60.92,12.2
Africa,Burundi,62.05,13.1
Africa,Cabo Verde,74.88,8.4
Africa,Cameroon,59.11,7.5
Africa,Central African Republic,50.53,15.1
Africa,Chad,57.91,13.9
Africa,Comoros,66.45,10.5
Africa,Congo,63.11,13.4
Africa,Côte d’Ivoire,60.2,8.4
Africa,Democratic Republic of the Congo,60.44,16.2
Africa,Equatorial Guinea,61.13,13.5
Africa,Eritrea,62.29,17.3
Africa,Eswatini,54.05,8.2
Africa,Ethiopia,66.82,16.2
Africa,Gabon,64.93,9.4
Africa,Gambia,64.14,10.6
Africa,Ghana,64.55,9
Africa,Guinea,58.81,11.3
Africa,Guinea-Bissau,58.23,10.1
Africa,Kenya,64.17,12.1
Africa,Lesotho,47.67,8.8
Africa,Liberia,61.17,8.7
Africa,Madagascar,64.19,14.8
Africa,Malawi,63.04,11.5
Africa,Mali,60.89,10.8
Africa,Mauritania,67.41,9.2
Africa,Mauritius,74.14,7.9
Africa,Mozambique,55.95,11.6
Africa,Namibia,62.87,10.3
Africa,Niger,61.54,13.5
Africa,Nigeria,61.16,10.7
Africa,Rwanda,67.69,9.9
Africa,Sao Tome and Principe,69.6,7.9
Africa,Senegal,67.2,12.1
Africa,Seychelles,73.2,6.2
Africa,Sierra Leone,56.94,10.6
Africa,South Africa,62.57,5
Africa,South Sudan,61.99,10.8
Africa,Togo,61.92,10.1
Africa,Uganda,64.47,11.6
Africa,United Republic of Tanzania,65.36,11.5
Africa,Zambia,60.5,11.7
Africa,Zimbabwe,58.48,8.7
Europe,Albania,77.84,1.4
Europe,Austria,80.98,1.6
Europe,Belarus,73.82,1.3
Europe,Belgium,80.71,0.9
Europe,Bosnia and Herzegovina,76.32,1.4
Europe,Bulgaria,74.55,0.9
Europe,Croatia,77.58,1
Europe,Cyprus,82.01,1.1
Europe,Czechia,78.46,0.8
Europe,Denmark,80.59,1.7
Europe,Estonia,77.6,1.2
Europe,Finland,81.21,0.8
Europe,France,81.91,1.6
Europe,Germany,80.42,0.8
Europe,Greece,80.38,0.6
Europe,Hungary,75.57,1.4
Europe,Iceland,82.14,1.1
Europe,Ireland,81.14,0.8
Europe,Israel,81.93,0.9
Europe,Italy,82.21,0.8
Europe,Latvia,74.8,1.3
Europe,Lithuania,74.38,0.9
Europe,Luxembourg,82.31,1.1
Europe,Malta,81.65,0.7
Europe,Montenegro,75.27,1.3
Europe,Netherlands,81.28,1
Europe,Norway,82.01,1
Europe,Poland,77.29,1.4
Europe,Portugal,80.89,0.9
Europe,Republic of Moldova,71.13,1.8
Europe,Romania,74.82,1.4
Europe,Serbia,75.21,1.5
Europe,Slovakia,77.01,1.4
Europe,Slovenia,80.47,1.4
Europe,Spain,82.33,0.6
Europe,Sweden,81.75,1.2
Europe,Switzerland,82.61,1.9
Europe,The former Yugoslav Republic of Macedonia,73.73,1.4
Europe,Ukraine,72.2,1.3
Europe,United Kingdom of Great Britain and Northern Ireland,80.65,1.1