Mammal,Order,LifeSpan,Height,Mass,Sleep,Speed,Habitat,Diet
AfricanElephant,Proboscidae,70,4,6400,3,40,land,plants
AsianElephant,Proboscidae,70,3,5000,4,40,land,plants
BigBrownBat,Chiroptera,19,0.1,0.02,20,40,land,meat
BottlenoseDolphin,Cetacea,25,3.5,635,5,37,water,meat
Cheetah,Carnivora,14,1.5,50,12,110,land,meat
DomesticCat,Carnivora,16,0.8,4.5,12,50,land,meat
Donkey,Perissodactyla,40,1.2,187,3,50,land,plants
Giraffe,Artiodactyla,25,5,1100,2,50,land,plants
GrayWolf,Carnivora,16,1.6,80,13,64,land,meat
GreySeal,Pinnipedia,30,2.1,275,6,19,both,meat
GroundSquirrel,Rodentia,9,0.3,0.1,15,19,land,both
Horse,Perissodactyla,25,1.5,521,3,69,land,plants
HouseMouse,Rodentia,3,0.1,0.03,12,13,land,both
Human,Primate,80,1.9,80,8,45,land,both
Jaguar,Carnivora,20,1.8,115,11,60,land,meat
Lion,Carnivora,15,2.5,250,20,80,land,meat
NineBandedArmadillo,Xenarthra,10,0.6,7,17,1,land,meat
Pig,Artiodactyla,10,1,192,8,18,land,both
Rabbit,Lagomorpha,5,0.5,3,11,56,land,plants
RedFox,Carnivora,7,0.8,5,10,48,land,both
SpottedHyena,Carnivora,25,0.9,70,18,64,land,meat